case_id,m_alk,m_si,m_sal,m_ca,m_mg,m_so4,CostIndex,DIC_1000y,risk_SI_chalcedony_0_100y,risk_SI_calcite_0_100y,risk_combined,pH_1000y,pH_min_0_100y,Objective,sel_exists,SI_chal_max_0_10y,SI_calc_max_0_10y,SI_anh_max_0_10y,T_SI_chal_pos_0_10y,T_SI_calc_pos_0_10y,T_SI_anh_pos_0_10y,A_SI_chal_pos_0_10y,A_SI_calc_pos_0_10y,A_SI_anh_pos_0_10y,pH_min_0_10y,pH_10y,RiskInj_A_0_10y,StorageReadyRatio,StorageReady_OK,RiskInj_norm,Cost_norm,SI_SUS
case_0011,1.0,0.5,1.0,1.5,1.0,1.0,0.75,1.17298347158,0.4440167305234,0.5948150049539,0.74142423300035,5.224268707422,4.86045770993,-0.6848649944206999,True,0.4440167305234,0.5948150049539,-0.4806220311031,6.666666666666666,6.66666980378736,0.0,3.6394319588385815,0.9913592745930648,0.0,4.86045770993,4.864276199261,4.135111596135114,0.9980180559129432,True,0.328046717270773,0.0549651887138145,0.7216265106571436
case_0012,1.0,0.5,1.0,1.5,0.7,1.0,0.8400000000000001,1.173853854318,0.4433544338366,0.5950012016084,0.7408550346408,5.227240847844,4.864066977191,-0.7278562149636002,True,0.4433544338366,0.5950012016084,-0.4838729793985,6.666666666666666,6.666669803787361,0.0,3.6341505291262095,0.9916696026426252,0.0,4.864066977191,4.867905439714,4.129985330447522,0.9987586099864878,True,0.3185849697095428,0.0615610113594723,0.7236615718091521
case_0013,1.0,0.5,0.7,1.0,1.0,1.0,0.68,1.180778054611,0.4440834769375,0.4607960203252,0.6744814871001,5.240090374013,4.867997861307,-0.5081849195892001,True,0.4440834769375,0.4607960203252,-0.4670111689609,6.666666666666666,3.333336470454027,0.0,3.640052155889582,0.7679940899950322,0.0,4.867997861307,4.872026466448,4.024049200887098,1.0046499776677933,True,0.1230545433524538,0.0498351044338585,0.8565596768322994
case_0014,1.0,0.5,0.7,1.0,0.7,1.0,0.77,1.181659331132,0.4433733911019,0.4602057972947,0.67347628974925,5.243039437238,4.871801141415,-0.5502932483665,True,0.4433733911019,0.4602057972947,-0.4703001140405,6.666666666666666,3.333336470454027,0.0,3.634431583018572,0.7670103840183984,0.0,4.871801141415,4.875849648822,4.017936775027772,1.0053998005779363,True,0.1117726016833609,0.0564309270795163,0.8606375308955374
case_0015,1.0,0.5,0.7,1.5,1.0,1.0,0.93,1.178432210123,0.4459418123881,0.6288910850619,0.76038735491905,5.232146181866,4.85798703581,-0.8073424997151,True,0.4459418123881,0.6288910850619,-0.4585203564722,6.666666666666666,6.66666980378736,0.0,3.6546283341466,1.0481527948901197,0.0,4.85798703581,4.861959700116,4.17870473159166,1.0026540457453814,True,0.4085082594984313,0.06815683400513,0.6789989484795547
case_0016,1.0,0.5,0.7,1.5,0.7,1.0,1.02,1.179306392422,0.445253041663,0.6286080111317,0.75955704722885,5.235123239845,4.861699535835,-0.8498077020357,True,0.445253041663,0.6286080111317,-0.4616351703756,6.666666666666666,6.66666980378736,0.0,3.6492192579596936,1.0476810045624343,0.0,4.861699535835,4.865693570584,4.173059760240911,1.0033978326270383,True,0.3980891167605799,0.0747526566507878,0.6812665492933347
case_0017,1.0,0.25,1.0,1.0,1.0,1.0,1.125,1.175322534309,0.4413602935788,0.4262212697331,0.65447092844535,5.232211988833,4.870238643534,-0.6961193225817002,True,0.4413602935788,0.4262212697331,-0.489538690499,6.666666666666666,3.333336470454027,0.0,3.6074918381725567,0.7103694514422834,0.0,4.870238643534,4.874109195859,3.9626765638936985,1.0000082176620346,True,0.0097766850073132,0.0824477830707218,0.9155702393499098
case_0018,1.0,0.25,1.0,1.0,0.7,1.0,1.215,1.176200120441,0.4406727888402,0.4262093273556,0.653777452518,5.235157152042,4.87393244673,-0.7388547845950001,True,0.4406727888402,0.4262093273556,-0.4929583945838,6.666666666666666,3.333336470454027,0.0,3.602204895000091,0.7103495474610512,0.0,4.87393244673,4.877821577181,3.9573796687306166,1.0007549006516725,True,0.0,0.0890436057163796,0.9189300551407852
case_0019,1.0,0.25,1.0,1.5,1.0,1.0,1.375,1.172986650356,0.4431679727502,0.5948614156089,0.7405986805546501,5.224280189412,4.860508839226,-0.9957107107533,True,0.4431679727502,0.5948614156089,-0.480686789682,6.666666666666666,3.333336470454027,0.0,3.621751158447617,0.9914366257575284,0.0,4.860508839226,4.864327040419,4.11746947132638,0.9980207605340404,True,0.2954839627128103,0.1007695126419934,0.7147847995726078
case_0020,1.0,0.25,1.0,1.5,0.7,1.0,1.465,1.173857057675,0.4424969424934,0.5950476010193,0.74002074300305,5.227252340361,4.864118045447,-1.0386844283311,True,0.4424969424934,0.5950476010193,-0.4839381611144,6.666666666666666,3.333336470454027,0.0,3.616208528081009,0.9917469350669048,0.0,4.864118045447,4.867956448739,4.112081995614461,0.9987613355220158,True,0.2855400896705238,0.1073653352876511,0.7170345650366075
